<!--
name: BOM.csv
type: data
description: Bill of materials and cost tracking for MVS
authority: derived
-->
Subsystem,Item,Quantity,UnitCostUSD,ExtendedCostUSD,CostIncluded,Notes
Actuation,775 Brushed DC Motor,11,18,198,Yes,Identical motor used for all actuated joints
Actuation,20:1 Planetary Gearbox (775 compatible),11,25,275,Yes,Standardized gearbox class reused across joints
Actuation,Secondary Belt Reduction Components,6,12,72,Yes,Used for hip pitch/roll and knee pitch joints
Sensors,Absolute Joint Encoder,13,8,104,Yes,Joint-mounted output encoders — all actuated joints plus the passive ankle_roll (design/sensors.yaml)
Control,Waveshare RP2350-CAN Controller,3,22,66,Yes,Left leg, right leg, torso
Control,Raspberry Pi (Linux SBC),1,45,45,Yes,High-level control and supervision
Power,60V to 24V DC/DC Converter (≥50A),1,85,85,Yes,Centralized power conversion
Power,Main Fuse and Power Distribution Hardware,1,25,25,Yes,60V rail protection and wiring
Structure,Aluminum Plate Stock (Legs + Torso),1,120,120,Yes,Twin-rail box-bulkhead construction
Structure,Bearings, Shafts, Fasteners (Bulk),1,110,110,Yes,Shared across joints and structure
Feet,Flat Sole Plate Assembly (compliant sole pad),2,30,60,Yes,Rigid plate + compliant pad for vertical shock absorption
Feet,Passive Spring-Centered Ankle Roll Pivot,2,15,30,Yes,Bracket + torsion spring + bearings — nominal cost estimate, pending P6 physical build
Feet,6-DOF Force/Torque Sensor,2,0,0,No,Required mechanically but excluded from cost target
Power,Toro 88675 Battery Pack,1,0,0,No,Excluded from cost target per SPEC
TOTAL,,,,,,
